,Close
2014-11-07,165.75000
2014-11-10,168.30000
2014-11-11,168.50000
2014-11-12,169.55000
2014-11-13,172.30000
2014-11-14,171.05000
2014-11-17,172.95000
2014-11-18,173.14999
2014-11-19,173.85001
2014-11-20,176.10001
2014-11-21,177.20000
2014-11-24,173.60001
2014-11-25,177.25000
2014-11-26,176.70000
2014-11-27,176.70000
2014-11-28,178.50000
2014-12-01,183.95000
2014-12-02,179.50000
2014-12-03,178.89999
2014-12-04,178.89999
2014-12-05,179.20000
2014-12-08,179.85001
2014-12-09,184.00000
2014-12-10,179.89999
2014-12-11,180.70000
2014-12-12,179.71001
2014-12-15,178.60001
2014-12-16,180.55000
2014-12-17,186.80000
2014-12-18,184.50000
2014-12-19,184.50000
2014-12-22,184.50000
2014-12-23,182.20000
2014-12-24,182.75000
2014-12-25,182.75000
2014-12-26,182.75000
2014-12-30,183.45000
2014-12-31,183.45000
2015-01-01,183.45000
2015-01-02,183.39999
2015-01-05,183.50000
2015-01-06,183.50000
2015-01-07,183.00000
2015-01-08,179.95000
2015-01-09,181.25000
2015-01-12,180.00000
2015-01-13,183.50000
2015-01-14,183.45000
2015-01-15,185.60001
2015-01-16,185.50000
2015-01-19,187.50000
2015-01-20,189.20000
2015-01-21,185.00000
2015-01-22,188.00000
2015-01-23,191.25000
2015-01-26,191.20000
2015-01-27,191.95000
2015-01-28,189.88000
2015-01-29,188.89999
2015-01-30,190.45000
2015-02-02,189.00000
2015-02-03,189.89999
2015-02-04,192.20000
2015-02-05,192.30000
2015-02-06,193.80000
2015-02-09,196.00000
2015-02-10,199.89999
2015-02-11,203.89999
2015-02-12,204.80000
2015-02-13,204.50000
2015-02-16,199.39999
2015-02-17,199.95000
2015-02-18,197.89999
2015-02-19,198.89999
2015-02-20,199.89999
2015-02-23,200.50000
2015-02-24,201.00000
2015-02-25,201.45000
2015-02-26,201.95000
2015-02-27,202.45000
2015-03-02,201.00000
2015-03-03,200.50000
2015-03-04,199.70000
2015-03-05,199.89999
2015-03-06,199.45000
2015-03-09,199.45000
2015-03-10,199.45000
2015-03-11,199.45000
2015-03-12,199.45000
2015-03-13,199.64999
2015-03-16,199.60001
2015-03-17,199.64999
2015-03-18,199.10001
2015-03-19,199.00000
2015-03-20,199.00000
2015-03-23,199.00000
2015-03-24,199.00000
2015-03-25,198.95000
